date,day_of_week,total_trades,rsi_trades,ib_trades,mom_trades,winners,losers,win_rate,net_pnl,cumulative_pnl,max_open_positions,first_trade_time,last_trade_time,data_period
2023-05-30,Tuesday,6,2,0,4,2,4,33.3,536.46,110043.12,3,2023-05-30 09:45:00,2023-05-30 14:00:00,2022-2024 (blind test)
2023-05-31,Wednesday,8,4,0,4,2,6,25.0,12.78,110055.90,3,2023-05-31 09:30:00,2023-05-31 14:15:00,2022-2024 (blind test)
2023-06-01,Thursday,9,6,1,2,0,9,0.0,-969.06,109086.84,3,2023-06-01 09:30:00,2023-06-01 15:00:00,2022-2024 (blind test)
2023-06-02,Friday,4,1,0,3,1,3,25.0,346.14,109432.98,3,2023-06-02 09:45:00,2023-06-02 10:45:00,2022-2024 (blind test)
2023-06-05,Monday,9,5,0,4,2,7,22.2,82.44,109515.42,3,2023-06-05 09:45:00,2023-06-05 15:15:00,2022-2024 (blind test)
2023-06-06,Tuesday,4,1,1,2,1,3,25.0,1.14,109516.56,3,2023-06-06 09:45:00,2023-06-06 11:30:00,2022-2024 (blind test)
2023-06-07,Wednesday,15,10,0,5,4,11,26.7,1041.90,110558.46,3,2023-06-07 09:45:00,2023-06-07 15:45:00,2022-2024 (blind test)
2023-06-08,Thursday,7,4,1,2,3,4,42.9,775.62,111334.08,3,2023-06-08 10:00:00,2023-06-08 12:30:00,2022-2024 (blind test)
2023-06-09,Friday,5,2,0,3,1,4,20.0,168.30,111502.38,3,2023-06-09 09:45:00,2023-06-09 12:00:00,2022-2024 (blind test)
2023-06-12,Monday,7,6,0,1,1,6,14.3,15.12,111517.50,3,2023-06-12 11:45:00,2023-06-12 15:30:00,2022-2024 (blind test)
2023-06-13,Tuesday,3,2,0,1,3,0,100.0,1186.98,112704.48,3,2023-06-13 09:30:00,2023-06-13 11:15:00,2022-2024 (blind test)
2023-06-14,Wednesday,12,6,1,5,4,8,33.3,505.92,113210.40,3,2023-06-14 09:45:00,2023-06-14 15:30:00,2022-2024 (blind test)
2023-06-15,Thursday,11,8,0,3,1,10,9.1,-367.74,112842.66,3,2023-06-15 09:30:00,2023-06-15 15:15:00,2022-2024 (blind test)
2023-06-16,Friday,5,2,0,3,0,5,0.0,-521.70,112320.96,3,2023-06-16 10:15:00,2023-06-16 15:30:00,2022-2024 (blind test)
2023-06-19,Monday,3,2,0,1,2,1,66.7,-7.02,112313.94,3,2023-06-19 09:30:00,2023-06-19 10:15:00,2022-2024 (blind test)
2023-06-20,Tuesday,6,3,0,3,3,3,50.0,197.46,112511.40,3,2023-06-20 09:45:00,2023-06-20 13:45:00,2022-2024 (blind test)
2023-06-21,Wednesday,9,5,0,4,5,4,55.6,2146.44,114657.84,3,2023-06-21 09:45:00,2023-06-21 15:45:00,2022-2024 (blind test)
2023-06-22,Thursday,6,2,0,4,1,5,16.7,63.96,114721.80,3,2023-06-22 09:30:00,2023-06-22 15:00:00,2022-2024 (blind test)
2023-06-23,Friday,4,2,0,2,0,4,0.0,-417.36,114304.44,3,2023-06-23 09:30:00,2023-06-23 15:00:00,2022-2024 (blind test)
2023-06-26,Monday,8,3,0,5,3,5,37.5,330.78,114635.22,3,2023-06-26 09:30:00,2023-06-26 12:45:00,2022-2024 (blind test)
2023-06-27,Tuesday,11,7,1,3,1,10,9.1,-487.74,114147.48,3,2023-06-27 09:30:00,2023-06-27 15:15:00,2022-2024 (blind test)
2023-06-28,Wednesday,6,2,1,3,1,5,16.7,33.96,114181.44,3,2023-06-28 10:00:00,2023-06-28 12:45:00,2022-2024 (blind test)
2023-06-29,Thursday,5,0,1,4,0,5,0.0,-551.70,113629.74,3,2023-06-29 09:30:00,2023-06-29 11:15:00,2022-2024 (blind test)
2023-06-30,Friday,7,5,1,1,2,5,28.6,300.12,113929.86,3,2023-06-30 09:30:00,2023-06-30 13:15:00,2022-2024 (blind test)
2023-07-03,Monday,2,0,0,2,0,2,0.0,-142.68,113787.18,3,2023-07-03 09:45:00,2023-07-03 10:45:00,2022-2024 (blind test)
2023-07-05,Wednesday,8,3,0,5,1,7,12.5,-437.22,113349.96,3,2023-07-05 09:45:00,2023-07-05 14:30:00,2022-2024 (blind test)
2023-07-06,Thursday,6,3,1,2,2,4,33.3,417.96,113767.92,3,2023-07-06 09:30:00,2023-07-06 11:00:00,2022-2024 (blind test)
2023-07-07,Friday,11,5,1,5,4,7,36.4,632.76,114400.68,3,2023-07-07 10:00:00,2023-07-07 15:30:00,2022-2024 (blind test)
2023-07-10,Monday,7,4,0,3,2,5,28.6,289.62,114690.30,3,2023-07-10 09:30:00,2023-07-10 12:15:00,2022-2024 (blind test)
2023-07-11,Tuesday,4,0,1,3,0,4,0.0,-447.36,114242.94,3,2023-07-11 09:30:00,2023-07-11 12:00:00,2022-2024 (blind test)
